query,group,time,value
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-03-25T08:00:00.000Z,10
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-03-25T16:00:00.000Z,99
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-03-26T00:00:00.000Z,50
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-03-26T08:00:00.000Z,5
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-03-26T16:00:00.000Z,7
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-03-27T08:00:00.000Z,4
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-03-27T16:00:00.000Z,N/A
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-03-28T08:00:00.000Z,4
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-03-28T16:00:00.000Z,38
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-03-31T08:00:00.000Z,7
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-03-31T16:00:00.000Z,13
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-01T08:00:00.000Z,5
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-01T16:00:00.000Z,N/A
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-02T08:00:00.000Z,1
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-02T16:00:00.000Z,9
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-03T08:00:00.000Z,3
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-03T16:00:00.000Z,N/A
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-04T08:00:00.000Z,1
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-04T16:00:00.000Z,5
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-06T08:00:00.000Z,5
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-07T08:00:00.000Z,5
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-07T16:00:00.000Z,2
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-08T08:00:00.000Z,1
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-08T16:00:00.000Z,3
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-09T08:00:00.000Z,1
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-09T16:00:00.000Z,N/A
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-10T08:00:00.000Z,6
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-10T16:00:00.000Z,N/A
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-11T08:00:00.000Z,2
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-11T16:00:00.000Z,20
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-12T00:00:00.000Z,60
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-14T08:00:00.000Z,6
