query,group,time,value
"count[test_level:test @git.repository.id:"github.com/providenceinnovation/MobileAutomationCEP" @test.service:cep_prov_ios]",'@test.status:fail,2025-03-24T00:00:00.000Z,12
"count[test_level:test @git.repository.id:"github.com/providenceinnovation/MobileAutomationCEP" @test.service:cep_prov_ios]",'@test.status:fail,2025-03-25T00:00:00.000Z,1
"count[test_level:test @git.repository.id:"github.com/providenceinnovation/MobileAutomationCEP" @test.service:cep_prov_ios]",'@test.status:fail,2025-03-26T00:00:00.000Z,10
"count[test_level:test @git.repository.id:"github.com/providenceinnovation/MobileAutomationCEP" @test.service:cep_prov_ios]",'@test.status:fail,2025-03-27T00:00:00.000Z,16
"count[test_level:test @git.repository.id:"github.com/providenceinnovation/MobileAutomationCEP" @test.service:cep_prov_ios]",'@test.status:fail,2025-03-28T00:00:00.000Z,11
"count[test_level:test @git.repository.id:"github.com/providenceinnovation/MobileAutomationCEP" @test.service:cep_prov_ios]",'@test.status:fail,2025-03-31T00:00:00.000Z,11
"count[test_level:test @git.repository.id:"github.com/providenceinnovation/MobileAutomationCEP" @test.service:cep_prov_ios]",'@test.status:fail,2025-04-01T00:00:00.000Z,11
"count[test_level:test @git.repository.id:"github.com/providenceinnovation/MobileAutomationCEP" @test.service:cep_prov_ios]",'@test.status:fail,2025-04-03T00:00:00.000Z,15
"count[test_level:test @git.repository.id:"github.com/providenceinnovation/MobileAutomationCEP" @test.service:cep_prov_ios]",'@test.status:fail,2025-04-04T00:00:00.000Z,36
"count[test_level:test @git.repository.id:"github.com/providenceinnovation/MobileAutomationCEP" @test.service:cep_prov_ios]",'@test.status:fail,2025-04-07T00:00:00.000Z,16
"count[test_level:test @git.repository.id:"github.com/providenceinnovation/MobileAutomationCEP" @test.service:cep_prov_ios]",'@test.status:fail,2025-04-08T00:00:00.000Z,14
"count[test_level:test @git.repository.id:"github.com/providenceinnovation/MobileAutomationCEP" @test.service:cep_prov_ios]",'@test.status:fail,2025-04-09T00:00:00.000Z,12
"count[test_level:test @git.repository.id:"github.com/providenceinnovation/MobileAutomationCEP" @test.service:cep_prov_ios]",'@test.status:fail,2025-04-10T00:00:00.000Z,13
"count[test_level:test @git.repository.id:"github.com/providenceinnovation/MobileAutomationCEP" @test.service:cep_prov_ios]",'@test.status:fail,2025-04-11T00:00:00.000Z,15
"count[test_level:test @git.repository.id:"github.com/providenceinnovation/MobileAutomationCEP" @test.service:cep_prov_ios]",'@test.status:fail,2025-04-14T00:00:00.000Z,14
"count[test_level:test @git.repository.id:"github.com/providenceinnovation/MobileAutomationCEP" @test.service:cep_prov_ios]",'@test.status:fail,2025-04-15T00:00:00.000Z,15
"count[test_level:test @git.repository.id:"github.com/providenceinnovation/MobileAutomationCEP" @test.service:cep_prov_ios]",'@test.status:fail,2025-04-16T00:00:00.000Z,15
"count[test_level:test @git.repository.id:"github.com/providenceinnovation/MobileAutomationCEP" @test.service:cep_prov_ios]",'@test.status:fail,2025-04-17T00:00:00.000Z,15
"count[test_level:test @git.repository.id:"github.com/providenceinnovation/MobileAutomationCEP" @test.service:cep_prov_ios]",'@test.status:fail,2025-04-18T00:00:00.000Z,15
"count[test_level:test @git.repository.id:"github.com/providenceinnovation/MobileAutomationCEP" @test.service:cep_prov_ios]",'@test.status:fail,2025-04-21T00:00:00.000Z,6
"count[test_level:test @git.repository.id:"github.com/providenceinnovation/MobileAutomationCEP" @test.service:cep_prov_ios]",'@test.status:fail,2025-04-22T00:00:00.000Z,4
"count[test_level:test @git.repository.id:"github.com/providenceinnovation/MobileAutomationCEP" @test.service:cep_prov_ios]",'@test.status:fail,2025-04-23T00:00:00.000Z,4
"count[test_level:test @git.repository.id:"github.com/providenceinnovation/MobileAutomationCEP" @test.service:cep_prov_ios]",'@test.status:fail,2025-04-24T00:00:00.000Z,3
"count[test_level:test @git.repository.id:"github.com/providenceinnovation/MobileAutomationCEP" @test.service:cep_prov_ios]",'@test.status:fail,2025-04-25T00:00:00.000Z,2
"count[test_level:test @git.repository.id:"github.com/providenceinnovation/MobileAutomationCEP" @test.service:cep_prov_ios]",'@test.status:fail,2025-04-28T00:00:00.000Z,4
"count[test_level:test @git.repository.id:"github.com/providenceinnovation/MobileAutomationCEP" @test.service:cep_prov_ios]",'@test.status:fail,2025-04-29T00:00:00.000Z,2
"count[test_level:test @git.repository.id:"github.com/providenceinnovation/MobileAutomationCEP" @test.service:cep_prov_ios]",'@test.status:fail,2025-04-30T00:00:00.000Z,2
"count[test_level:test @git.repository.id:"github.com/providenceinnovation/MobileAutomationCEP" @test.service:cep_prov_ios]",'@test.status:fail,2025-05-01T00:00:00.000Z,4
"count[test_level:test @git.repository.id:"github.com/providenceinnovation/MobileAutomationCEP" @test.service:cep_prov_ios]",'@test.status:fail,2025-05-02T00:00:00.000Z,5
"count[test_level:test @git.repository.id:"github.com/providenceinnovation/MobileAutomationCEP" @test.service:cep_prov_ios]",'@test.status:fail,2025-05-05T00:00:00.000Z,3
"count[test_level:test @git.repository.id:"github.com/providenceinnovation/MobileAutomationCEP" @test.service:cep_prov_ios]",'@test.status:fail,2025-05-06T00:00:00.000Z,4
"count[test_level:test @git.repository.id:"github.com/providenceinnovation/MobileAutomationCEP" @test.service:cep_prov_ios]",'@test.status:fail,2025-05-07T00:00:00.000Z,2
"count[test_level:test @git.repository.id:"github.com/providenceinnovation/MobileAutomationCEP" @test.service:cep_prov_ios]",'@test.status:fail,2025-05-08T00:00:00.000Z,1
"count[test_level:test @git.repository.id:"github.com/providenceinnovation/MobileAutomationCEP" @test.service:cep_prov_ios]",'@test.status:fail,2025-05-09T00:00:00.000Z,2
"count[test_level:test @git.repository.id:"github.com/providenceinnovation/MobileAutomationCEP" @test.service:cep_prov_ios]",'@test.status:fail,2025-05-12T00:00:00.000Z,7
"count[test_level:test @git.repository.id:"github.com/providenceinnovation/MobileAutomationCEP" @test.service:cep_prov_ios]",'@test.status:fail,2025-05-13T00:00:00.000Z,7
"count[test_level:test @git.repository.id:"github.com/providenceinnovation/MobileAutomationCEP" @test.service:cep_prov_ios]",'@test.status:fail,2025-05-14T00:00:00.000Z,5
